ano_eleicao;sigla_partido;nome_coligacao;nome_candidato;nome_municipio
2012;PSDB;FORTE É O POVO;JOAO BOSCO GADELHA DE OLIVEIRA FILHO;SÃO FRANCISCO
2012;PSDB;GUARABIRA TEM JEITO;ZENÓBIO TOSCANO DE OLIVEIRA;GUARABIRA
2012;PSDB;NOVA OLINDA EM BOAS MÃOS;MARIA DO CARMO SILVA;NOVA OLINDA
2012;PSDB;O POVO É QUEM QUER;FRANCISCO DE ASSIS CARVALHO;OLHO D'ÁGUA
2012;PSDB;OS FILHOS DA TERRA UNIDOS PELO BEM DE TENÓRIO;EVILAZIO DE ARAUJO SOUTO;TENÓRIO
2012;PSDB;PAZ, UNIAO E PROGRESSO;DOMINGOS SÁVIO MAXIMIANO ROBERTO;PRINCESA ISABEL
2012;PSDB;POR AMOR A AREIA DE BARAUNAS SEMPRE;VANDERLITA GUEDES PEREIRA;AREIA DE BARAÚNAS
2012;PSDB;POR AMOR A CACIMBA DE AREIA;ORISMAN FERREIRA DA NÓBREGA;CACIMBA DE AREIA
2012;PSDB;POR AMOR A CAMPINA;ROMERO RODRIGUES VEIGA;CAMPINA GRANDE
2012;PSDB;POR AMOR A SÃO DOMINGOS;JOSE FERREIRA DA SILVA;SÃO DOMINGOS DO CARIRI
2012;PSDB;PORQUE O POVO QUER;JOSE GIL MOTA TITO;RIACHÃO DO BACAMARTE
2012;PSDB;PRÁ MONTEIRO SEGUIR EM FRENTE;EDNACÉ ALVES SILVESTRE HENRIQUE;MONTEIRO
2012;PSDB;SOBRADO CADA VEZ MELHOR;GEORGE JOSÉ PORCIUNCULA PEREIRA COELHO;SOBRADO
2012;PSDB;UNIDOS PARA MUDAR;MYLTON DOMINGUES DE AGUIAR MARQUES;AROEIRAS
2012;PSDB;UNIDOS PELA PAZ;ANTÔNIO CARLOS CAVALCANTI LOPES;COREMAS
2012;PSDB;UNIDOS POR AMOR A CACIMBA DE DENTRO;EDMILSON GOMES DE SOUZA;CACIMBA DE DENTRO
2012;PSDB;UNIDOS POR PEDRO REGIS;JOSE AURELIO FERREIRA;PEDRO RÉGIS
2012;PSDB;UNIDOS POR SAO JOSE;IRACEMA NELIS DE ARAUJO DANTAS;SÃO JOSÉ DO SABUGI
2012;PSDB;UNIDOS POR UMA SERRA MAIS FORTE E FELIZ;MANOEL MARCELO DE ANDRADE;SERRA REDONDA
2012;PSDC;É HORA DE MUDANÇA;MARIA LEONICE LOPES VITAL;BOA VENTURA
2012;PSL;BORBOREMA PARA TODOS;MARIA PAULA GOMES PEREIRA;BORBOREMA
2012;PSL;COM VOCÊ, A GENTE FAZ ACONTECER;ERALDO FERNANDES DE AZEVEDO;ARARA
2012;PT;A FORÇA DO POVO;PEDRO FEITOZA LEITE;IBIARA
2012;PT;COLIGAÇÃO PARA SOLEDADE CONTINUAR CRESCENDO;JOSE BENTO LEITE DO NASCIMENTO;SOLEDADE
2012;PT;POMBAL, MAIOR E MELHOR;YASNAIA POLLYANNA WERTON DUTRA;POMBAL
2012;PT;SANTA CRUZ DO PRESENTE;RAIMUNDO ANTUNES BATISTA;SANTA CRUZ
2012;PT;UNIDOS PELA FORÇA DA PALAVRA;ELIO RIBEIRO DE MORAIS;SANTANA DOS GARROTES
2012;PT;UNIDOS POR JOÃO PESSOA;LUCIANO CARTAXO PIRES DE SÁ;JOÃO PESSOA
2012;PT do B;COLIGAÇÃO POR AMOR AO CONDE;TATIANA LUNDGREN CORREA DE OLIVEIRA;CONDE
2012;PT do B;COM A FORÇA DO POVO;SILVANA FERNANDES MARINHO DE ARAUJO;SANTO ANDRÉ
2012;PT do B;DECISÃO DO POVO;ADRIANA APARECIDA SOUZA DE ANDRADE;PILÕES
2012;PT do B;POR UMA BREJO DOS SANTOS DE TODOS;LUIZ VIEIRA DE ALMEIDA;BREJO DOS SANTOS
2012;PTB;A MUDANÇA É AGORA;FABIO MOURA DE MOURA;RIACHÃO
2012;PTB;COLIGAÇÃO É O POVO DE NOVO;LEOMAR BENICIO MAIA;CATOLÉ DO ROCHA
2012;PTB;COLIGAÇÃO O POVO NO PODER;MAGNO DEMYS DE OLIVEIRA BORGES;LAGOA
2012;PTB;CONFIRMA JUAZEIRINHO. PORQUE O POVO MERECE O MELHOR!;CARLEUSA CASTRO MARQUES DE OLIVEIRA RAULINO;JUAZEIRINHO
2012;PTB;LUTANDO E SEGUINDO EM FRENTE, VENCENDO COM O POVO NOVAMENTE;TÂNIA MANGUEIRA NITAO INÁCIO;SANTANA DE MANGUEIRA
2012;PTB;POR AMOR A PEDRA BRANCA;JOSÉ DE ANCHIETA NOIA;PEDRA BRANCA
2012;PTB;RENOVAR, É PRECISO;AUDIBERG ALVES DE CARVALHO;ITAPORANGA
2012;PTB;UMA CARRAPATEIRA PARA TODOS;ANDRÉ PEDROSA ALVES;CARRAPATEIRA
2012;PTB;UNIÃO DAS FORÇAS PROGRESSISTAS DEMOCRÁTICAS E TRABALHISTAS;JOSÉ VIEIRA DA SILVA;MARIZÓPOLIS
2012;PTB;UNIDOS PELA PAZ;JOSEVALDO DA SILVA COSTA;RIACHO DE SANTO ANTÔNIO
2012;PTB;UNIDOS POR PAULISTA;SEVERINO PEREIRA DANTAS;PAULISTA
2012;PTB;VIEIROPOLIS NO RUMO CERTO;ANTONIO CEZAR BRAGA;VIEIRÓPOLIS
